Index,orig_lang
2139,Swedish
2140,English
2141,English
2142,Thai
2143,Japanese
2144,English
2145,Japanese
2146,English
2147,English
2148,English
2149,English
2150,English
2151,French
2152,English
2153,Korean
2154,English
2155,Korean
2156,English
2157,Korean
2158,English
2159,English
2160,English
2161,English
2162,Norwegian
2163,English
2164,English
2165,English
2166,German
2167,Spanish
2167,Castilian
2168,English
2169,English
2170,Norwegian
2171,English
2172,Tagalog
2173,English
2174,English
2175,English
2176,Japanese
2177,Japanese
2178,English
2179,English
2180,English
2181,Cantonese
2182,English
2183,Polish
2184,Italian
2185,English
2186,English
2187,Korean
2188,English
2189,English
2190,English
2191,English
2192,English
2193,English
2194,Turkish
2195,English
2196,English
2197,English
2198,English
2199,Russian
2200,English
2201,English
2202,English
2203,English
2204,Japanese
2205,English
2206,English
2207,English
2208,English
2209,English
2210,Korean
2211,English
2212,Japanese
2213,English
2214,English
2215,Japanese
2216,English
2217,English
2218,English
2219,English
2220,English
2221,Russian
2222,English
2223,English
2224,English
2225,Korean
2226,English
2227,English
2228,Spanish
2228,Castilian
2229,English
2230,English
2231,Italian
2232,English
2233,English
2234,English
2235,English
2236,English
2237,English
2238,English
2239,English
2240,English
2241,English
2242,English
2243,English
2244,English
2245,Korean
2246,English
2247,English
2248,English
2249,Spanish
2249,Castilian
2250,Chinese
2251,Japanese
2252,English
2253,English
2254,English
2255,Japanese
2256,English
2257,Spanish
2257,Castilian
2258,English
2259,English
2260,English
2261,English
2262,English
2263,French
2264,English
2265,English
2266,Spanish
2266,Castilian
2267,English
2268,Japanese
2269,Spanish
2269,Castilian
2270,English
2271,English
2272,English
2273,English
2274,English
2275,English
2276,English
2277,Korean
2278,English
2279,English
2280,English
2281,English
2282,Japanese
2283,English
2284,English
2285,English
2286,English
2287,Japanese
2288,Norwegian
2289,English
2290,English
2291,English
2292,Cantonese
2293,English
2294,English
2295,Italian
2296,English
2297,English
2298,English
2299,Japanese
2300,Italian
2301,English
2302,English
2303,English
2304,English
2305,Korean
2306,English
2307,Cantonese
2308,English
2309,English
2310,English
2311,English
2312,English
2313,English
2314,English
2315,Spanish
2315,Castilian
2316,English
2317,French
2318,Chinese
2319,English
2320,Italian
2321,Japanese
2322,English
2323,Chinese
2324,English
2325,English
2326,Norwegian
2327,English
2328,English
2329,Japanese
2330,English
2331,English
2332,Korean
2333,English
2334,English
2335,English
2336,Korean
2337,Italian
2338,English
2339,English
2340,English
2341,English
2342,English
2343,English
2344,Spanish
2344,Castilian
2345,English
2346,English
2347,English
2348,English
2349,English
2350,Spanish
2350,Castilian
2351,English
2352,English
2353,English
2354,English
2355,English
2356,English
2357,Japanese
2358,Korean
2359,English
2360,English
2361,English
2362,English
2363,English
2364,Korean
2365,English
2366,Italian
2367,English
2368,English
2369,English
2370,English
2371,English
2372,English
2373,English
2374,English
2375,English
2376,English
2377,Spanish
2377,Castilian
2378,Serbian
2379,Korean
2380,Turkish
2381,English
2382,English
2383,English
2384,English
2385,English
2386,English
2387,English
2388,Japanese
2389,Korean
2390,Cantonese
2391,English
2392,English
2393,Italian
2394,English
2395,English
2396,English
2397,English
2398,English
2399,English
2400,English
2401,English
2402,English
2403,Japanese
2404,English
2405,Indonesian
2406,English
2407,Japanese
2408,English
2409,English
2410,English
2411,English
2412,English
2413,English
2414,Japanese
2415,Telugu
2416,English
2417,English
2418,English
2419,English
2420,English
2421,Cantonese
2422,English
2423,English
2424,English
2425,English
2426,English
2427,French
2428,Korean
2429,English
2430,English
2431,English
2432,No Language
2433,English
2434,English
2435,English
2436,English
2437,English
2438,Japanese
2439,English
2440,English
2441,English
2442,English
2443,English
2444,English
2445,Japanese
2446,English
2447,Korean
2448,English
2449,English
2450,English
2451,English
2452,English
2453,Spanish
2453,Castilian
2454,English
2455,Japanese
2456,English
2457,English
2458,English
2459,English
2460,English
2461,Cantonese
2462,English
2463,English
2464,English
2465,English
2466,English
2467,English
2468,English
2469,English
2470,English
2471,English
2472,English
2473,English
2474,English
2475,English
2476,English
2477,English
2478,English
2479,English
2480,Korean
2481,English
2482,English
2483,English
2484,English
2485,English
2486,English
2487,English
2488,Korean
2489,English
2490,Japanese
2491,Japanese
2492,English
2493,English
2494,English
2495,English
2496,English
2497,English
2498,English
2499,English
2500,English
2501,English
2502,Italian
2503,English
2504,English
2505,English
2506,English
2507,English
2508,English
2509,English
2510,English
2511,Spanish
2511,Castilian
